user_id,business_id,stars
--65q1FpAL_UQtVZ2PTGew,AkOruz5CrCxUmXe1p_WoRg,4
--65q1FpAL_UQtVZ2PTGew,AkOruz5CrCxUmXe1p_WoRg,4
--65q1FpAL_UQtVZ2PTGew,JokKtdXU7zXHcr20Lrk29A,5
--65q1FpAL_UQtVZ2PTGew,K8pM6qQdYu5h6buRE1-_sw,4
--65q1FpAL_UQtVZ2PTGew,VVeogjZya58oiTxK7qUjAQ,4
--65q1FpAL_UQtVZ2PTGew,z3yFuLVrmH-3RJruPEMYKw,5
-2PFmYGWB6rQhZtRh6PlPA,4bEjOyTaDG24SY5TxsaUNQ,4
-4ld1qpaBNLocSBe85jWnw,lliksv-tglfUz1T3B3vgvA,4
-4ld1qpaBNLocSBe85jWnw,xyTJYlbE_MLouK6rCou6zg,2
-dESb2jAPYgG9yK6QE8H2A,jf67Z1pnwElRSXllpQHiJg,4
-dESb2jAPYgG9yK6QE8H2A,lliksv-tglfUz1T3B3vgvA,5
-Dof9NwAoQwRM-GVPZk5zw,34uJtlPnKicSaX1V8_tu1A,5
-Dof9NwAoQwRM-GVPZk5zw,EWMwV5V9BxNs_U6nNVMeqw,5
-Dof9NwAoQwRM-GVPZk5zw,K8pM6qQdYu5h6buRE1-_sw,5
-Dof9NwAoQwRM-GVPZk5zw,OFBJtqWGSx6n6CchtVmoRw,4
-Dof9NwAoQwRM-GVPZk5zw,SDwYQ6eSu1htn8vHWv128g,5
-Dof9NwAoQwRM-GVPZk5zw,xyTJYlbE_MLouK6rCou6zg,5
-F32Vl8Rk4dwsmk0f2wRIw,3oZcTGb_oDHGwZFiP-7kxQ,4
-F32Vl8Rk4dwsmk0f2wRIw,EWMwV5V9BxNs_U6nNVMeqw,3
-F32Vl8Rk4dwsmk0f2wRIw,K8pM6qQdYu5h6buRE1-_sw,5
-F32Vl8Rk4dwsmk0f2wRIw,ntN85eu27C04nwyPa8IHtw,4
-F32Vl8Rk4dwsmk0f2wRIw,SDwYQ6eSu1htn8vHWv128g,5
-gO3WeUEm0k7mk56E05zlQ,4bEjOyTaDG24SY5TxsaUNQ,4
-gO3WeUEm0k7mk56E05zlQ,4bEjOyTaDG24SY5TxsaUNQ,5
-gO3WeUEm0k7mk56E05zlQ,tqu42L0qXzkvYKSruOz0IA,4
-JLiC5WLQIu2usjYTNmS2w,eWPFXL1Bmu1ImtIa2Rqliw,4
-JLiC5WLQIu2usjYTNmS2w,hW0Ne_HTHEAgGF1rAdmR-g,3
-JLiC5WLQIu2usjYTNmS2w,jf67Z1pnwElRSXllpQHiJg,3
-JLiC5WLQIu2usjYTNmS2w,SsTxjxo8qvqBMvan1rzNzg,4
-k-juS7vkLZVqQJj2WzIRQ,SsTxjxo8qvqBMvan1rzNzg,5
-K3ZjROK0ml2P-Rk7ttHzA,SsTxjxo8qvqBMvan1rzNzg,3
-KCR0e2Nyc7a7qvqnr9njQ,VVeogjZya58oiTxK7qUjAQ,3
-kIvLyWpY17aRa0vPp-RmA,0UZ31UTcOLRKuqPqPe-VBA,5
-kIvLyWpY17aRa0vPp-RmA,AkOruz5CrCxUmXe1p_WoRg,3
-kIvLyWpY17aRa0vPp-RmA,aRkYtXfmEKYG-eTDf_qUsw,5
-kIvLyWpY17aRa0vPp-RmA,hW0Ne_HTHEAgGF1rAdmR-g,3
-kIvLyWpY17aRa0vPp-RmA,JokKtdXU7zXHcr20Lrk29A,5
-kIvLyWpY17aRa0vPp-RmA,JokKtdXU7zXHcr20Lrk29A,5
-kIvLyWpY17aRa0vPp-RmA,K8pM6qQdYu5h6buRE1-_sw,5
-kIvLyWpY17aRa0vPp-RmA,V1nEpIRmEa1768oj_tuxeQ,5
-la6YVHqiwf2fR8o617mBQ,VVeogjZya58oiTxK7qUjAQ,5
-OMlS6yWkYjVldNhC31wYg,EWMwV5V9BxNs_U6nNVMeqw,5
-OMlS6yWkYjVldNhC31wYg,hW0Ne_HTHEAgGF1rAdmR-g,3
-OMlS6yWkYjVldNhC31wYg,JokKtdXU7zXHcr20Lrk29A,5
-OMlS6yWkYjVldNhC31wYg,K8pM6qQdYu5h6buRE1-_sw,5
-OMlS6yWkYjVldNhC31wYg,ntN85eu27C04nwyPa8IHtw,5
-OMlS6yWkYjVldNhC31wYg,OFBJtqWGSx6n6CchtVmoRw,3
-OMlS6yWkYjVldNhC31wYg,V1nEpIRmEa1768oj_tuxeQ,5
-OMlS6yWkYjVldNhC31wYg,VVeogjZya58oiTxK7qUjAQ,3
-oTBPHzif6mUpj6KggLi9A,34uJtlPnKicSaX1V8_tu1A,4
-oTBPHzif6mUpj6KggLi9A,4bEjOyTaDG24SY5TxsaUNQ,2
-umEKdH3Yz1m8Wp2xierGQ,34uJtlPnKicSaX1V8_tu1A,3
-umEKdH3Yz1m8Wp2xierGQ,jf67Z1pnwElRSXllpQHiJg,4
